PID,experimenter,location,gender,age_M,age_Y,age_group,condition,CB_order,prior_experience,color_choice,comp_check,manip_check,Happy Rating 1,happy_1,Sad Rating 1,sad_1,Angry Rating 1,angry_1,Fairness Rating 1,fair_1,Fairness explanation 1,diffs,look_time_hh:mm:ss,look_time,play_again,attribution,Cause Explanation,change,Change Explanation,board_choice,board explanation,Happy Rating 2,happy_2,Sad Rating 2,sad_2,Angry Rating 2,angry_2,Fairness Rating 2,fair_2,Fairness Explanation 2
EB11,Kate,Zoom,F,93,7,B,Equal,3,Y,Orange,Y,same,Pretty happy,3,A little sad,2,Not angry at all,1,A little fair,3,It's about luck. Only if the spinner lands on the right number you'll be able to win.,0,0:01:22,82,.,Structural,I would say the spinner. We both are doing good because of the spinner because the spinner is giving us the thing again.,N,"We're not really using our minds for this game, the whole game is about the spinner.",Equal,"Cause most of the slides in the one we just did is orange cause I am the orange player. And there is small ladders for me. There is big ladders for the green and small slides, so I would play the game we were just playing.",Pretty happy,3,Not sad at all,1,Not angry at all,1,A little unfair,2,Because the other person didn't get to win.
EB12,Kate,Zoom,F,94,7,B,Equal,1,Y,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really unfair,1,Because it's unfair for the person that loses.,0,0:05:00,300,Y,Structural,Maybe the spinner they have is better,Y,They can make the spinner faster and better,Equal,"beacause the one that has different colors, it only has two latters that I can climb up and then it has a lot of slides that I can slide down.",Really happy,4,Not sad at all,1,Not angry at all,1,A little unfair,2,because it's unfair for the other player because they might feel sad they didn't win
EB13,Rachael,Zoom,M,93,7,B,Equal,2,Y,Green,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because it's not like one of the players got super lucky & always got the bigger number,1,0:02:25,145,Y,Structural,I guess the spinner. Sometimes the other player gets a little bit of a better spin than me. But nobody's really better than the other. ,Y,Maybe if they get luckier spins than they used to...like maybe they always got the slides,Equal,For me it doesn't make a lot of sense when you can only do a specific color because on that board the other player has more ladders because I only have 2 ladders there. Most of mine are slides so it's not really like I'm gonna go anywhere.,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because no one got a better spin
EB14,Rachael,Zoom,M,76,6,B,Equal,3,N,Green,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because nobody has even won or lost yet,0,0:00:38,38,Y,Internal,If they practice the game,Y,The more they practice the better they'll get,Equal,Because there's not as many green ladders on the new board than on the old board,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because the other person was so close but I got ahead
EB15,Rachael,Zoom,M,88,7,B,Equal,1,Y,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Cause it's not like there's one person at the start and one person almost to the finish, and then the person at the start goes up one and the person at the finish goes up 6",2,0:01:59,119,Y,Structural,"It could be different like if all the slides were ladders and all the ladders were slides, then all my slides would be like I'm up to at least here...but if it's like this right now, i'm only about right here, but if I had the ladders as slides and the slides as ladders I could be up here (motions to top of board)",Y,I don't know...you could change the game board,Disadvantaged,It might be better for both of us,Really happy,4,A little sad,2,Not angry at all,1,Really unfair,1,Because I only had 2 orange ladders and all the rest were slides
EB16,Rachael,Zoom,M,88,7,B,Equal,2,Y,Green,Y,same,Really happy,4,A little sad,2,A little angry,2,A little unfair,2,"Well fair means the same amount, and if someone else gets higher than me that's not very fair...if we both got the same amount and won at the same time it would be fair",1,0:01:30,90,Y,Structural,The size of the slides and the ladders. I think each ladder and slide should be the same length. ,Y,The slides and ladders,Disadvantaged,"Because it's more [unintelligible]...I also noticed their slides are shorter than mine, and mine are really wide...I barely have long ones, but i'll try it out",Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,It was more fair than the last one b/c we both got the same chances of winning...he was only 2 steps away from me
EB17,Kate,Zoom,Other - Non-binary trans femme,75,6,B,Equal,3,Y,Orange,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,A little fair,3,"It is a little care because it is random, but the other player got 1 '6' and I didn't get any '6's",1,0:01:57,117,Y,Structural,The real chutes and ladders has 100 squares and this one only has 64. There are less squares so it is easier.,Y,If they get a bunch of 5s or 6s.,Disadvantaged,"I want to try the new board, but I have more slides and the other kid has more ladders, so it will be unfair.",Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,I had more slides than the other person and the other person had more ladders.
EB18,Josie,Zoom,F,74,6,B,Equal,1,Y,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because it was so fun,1,0:04:55,295,Y,Internal,because they played this for a long time,N,because sometimes they don't play it,Disadvantaged,because I want to start a new game,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because sometimes I was playing it but I was playing it different than that board game
EB19,Kaiah,Zoom,M,83,6,B,Equal,2,Y,Orange,Y,same,Really happy,4,A little sad,2,Not angry at all,1,Really fair,4,Cause we both got the same space so it was really fair…and for him because he landed on the same space,1,0:04:26,266,Y,Structural,Because some of them have arrows to help you,Y,each time they probably do better…im realy good at sequence because i play games like it they’ll probably be really good like at this game,Disadvantaged,.,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because i won! and we started on the same one so it was fair to him either…he just got bad luck
EB20,Josie,Zoom,F,88,7,B,Equal,3,Y,Green,Y,same,Pretty happy,3,Not sad at all,1,A little angry,2,Really fair,4,because right before the break no one beat anyone,0,0:00:51,51,Y,Structural,because of the spinner. they don't spin it,N,I think that I can do better because I say go faster and it goes faster and when it goes faster there's more chances it might be a bigger one,Equal,"It's more fair, I would like to play on the new one if I was orange",Really happy,4,Not sad at all,1,Not angry at all,1,A little fair,3,it's not fair for the orange player because he didn't get a chance to go
EB21,Kaiah,Zoom,M,81,6,B,Equal,1,Y,Green,Y,my player,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because its fair because um I…the other player was ahead of me first and then we both are the same,0,0:01:26,86,N,Structural,because they're trying hard (answered about the player?),Y,By practicing and by learning ,Equal,Because its more fair and um we don't have to match our colours,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because um some players might lose and that’s unfair because the same players always win (COULD NOT HEAR HIM SUPER WELL)
EB22,Kate,Zoom,M,87,7,B,Equal,2,N,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,I don't know...I don't have any ideas.,0,0:00:40,40,Y,Internal,Probably they play all the time.,Y,If kids have more energy.,Disadvantaged,Then I can win because the orange is going first.,Really happy,4,A little sad,2,Not angry at all,1,A little fair,3,Because he could only do the green ones (the green ladders) that's why he lost.
EB23,Josie,Zoom,F,92,7,B,Equal,3,N,Green,Y,same,A little happy,2,Not sad at all,1,Not angry at all,1,A little fair,3,I'm not sure,2,0:03:44,224,Y,Structural,because there are ladders so you can go,Y,I'm not sure,Equal,cause we can both go up and down the same ladders,A little happy,2,Not sad at all,1,Not angry at all,1,Really fair,4,I'm not sure
EB24,Josie,Zoom,M,83,6,B,Equal,1,N,Green,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because I like it and it's fun,1,0:04:31,271,Y,Internal,because they practice a lot,Y,because they practice a lot,Equal,cause on the other one there's more green slides,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,because it's a fun game and I really like it
EB26,Kaiah,Museum,F,78,6,B,Equal,1,N,Green,Y,same,Pretty happy,3,Not sad at all,1,Not angry at all,1,Really fair,4,Because the other player did not try to bump me out of the game. ,1,0:02:44,164,.,Internal,They do it over and over. ,Y,By memorizing the game. ,Equal,Because the other one might be a little harder. ,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Because even if someone lost, they will be ok. They won't be fire from the building. "
EB27,Josie,Museum,M,74,6,B,Equal,2,Y,Orange,Y,same,Really happy,4,A little sad,2,Not angry at all,1,Really fair,4,Went same amount/both did good,0,0:00:20,20,Y,Structural,Makes them happy,Y,If they get to all the ladders,Equal,We haven't finished yet,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because I had more ladders and went farther
EB28,Rachael,Zoom,F,77,6,B,Equal,3,N,Orange,Y,same,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,Because we kept taking turns,0,0:03:01,181,Y,Internal,Maybe because they practice,Y,I think because they’re taking turns,Disadvantaged,Because I like using different colors,Really happy,4,Not sad at all,1,Not angry at all,1,Really fair,4,"Because…I think it’s the same question as before, like taking turns"
